"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"193.","1533","Крагујевац","Шумадијски управни округ","Аранђеловац","Аранђеловац","Економско-угоститељска школа Слободан Минић","Јосифа Панчића 3","34300","es.slobodanminic@mts.rs","(034)6713393","http://eusslobodanminic.nasaskola.rs","7351186","100764334","1990-07-03","Средње стручне школе","Државно","19","0","0","540","372","0","12","0","59","49.010000","74","65.510000"
"194.","1534","Крагујевац","Шумадијски управни округ","Аранђеловац","Аранђеловац","Техничка школа Милета Николић","Јосифа Панчића 3","34300","artskola@mts.rs","(034)6712128","http://www.tehniar.com","7351194","100901448","1990-07-03","Средње стручне школе","Државно","28","0","0","769","185","0","15","0","75","62.132200","90","80.232200"
"195.","1535","Крагујевац","Шумадијски управни округ","Баточина","Баточина","Средња школа Никола Тесла","Краља Милана Обреновића 2","34227","office@ssbatocina.edu.rs","(034)6841659","http://www.ssbatocina.edu.rs","7199554","101219763","1977-03-15","Средње стручне школе","Државно","12","0","0","234","86","1","4","0","34","24.090000","43","34.090000"
"196.","1536","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Прва крагујевачка гимназија","Даничићева 1","34000","prvagimnazijakg@yahoo.com","(034)335506","http://prvagimnazija.edu.rs","7151292","101576683","1833-10-21","Гимназије","Државно","51","0","0","1366","806","0","0","0","124","102.400000","155","134.400000"
"197.","1537","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Друга крагујевачка гимназија","Лицеја Кнежевине Србије 2","34000","drugagim@kg.ac.rs","(034)341398","http://www.drugagimnazija.edu.rs","7668104","101317717","1991-09-04","Гимназије","Државно","35","0","0","963","603","0","0","0","83","70.741000","112","99.741000"
"198.","1538","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Трговинско-угоститељска школа Тоза Драговић","Саве Ковачевића 25","34000","tozadragovic@mts.rs","(034)6333237","http://www.tozadragovic.wordpress.com","7151250","100562509","1968-07-12","Средње стручне школе","Државно","28","0","0","772","505","6","7","0","91","72.515600","112","97.055600"
"199.","1539","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Медицинска школа са домом ученика Сестре Нинковић","Радоја Домановића 2","34000","medskg@ptt.rs","(034)370201","http://www.sajtm.medicinskakg.com","7150318","101042289","1954-09-01","Средње стручне школе","Државно","22","0","0","666","551","0","0","0","76","58.140100","119","101.140100"
"200.","1542","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Прва техничка школа","Радоја Домановића 8","34000","prvatehnicka@gmail.com","(034)332461","http://www.prvatehnicka.edu.rs","7151306","101508745","1941-10-19","Средње стручне школе","Државно","34","0","0","975","300","0","2","0","113","102.276600","151","140.276600"
"201.","1544","Крагујевац","Шумадијски управни округ","Рача","Рача","Средња школа Ђура Јакшић","Карађорђева 94","34210","office@raca.edu.rs","(034)751156","http://www.raca.edu.rs","7113579","101228345","1920-09-17","Средње стручне школе","Државно","11","0","0","254","125","0","0","0","43","23.482200","50","33.282200"
"202.","1545","Крагујевац","Шумадијски управни округ","Лапово","Лапово (варошица)","Средња школа","Светозара Марковића 43","34220","office@lapovo.edu.rs","(034)6100230","http://www.lapovo.edu.rs","6952461","101888518","1993-05-13","Средње стручне школе","Државно","7","0","0","171","105","0","3","0","27","14.346000","33","21.346000"
"203.","1546","Крагујевац","Шумадијски управни округ","Топола","Топола (варошица)","Средња школа Краљ Петар Први","Шумадијска 2","34310","ss.kraljpetar1@mts.rs","(034)6811035","http://www.srednjaskola-topola.edu.rs","7123604","101224115","1925-09-01","Средње стручне школе","Државно","19","0","0","463","198","0","11","0","59","43.023500","81","66.007700"
"204.","1547","Ниш","Пиротски управни округ","Бела Паланка","Бела Паланка","Средња школа Никета Ремезијански са домом ученика","9. мај 2","18310","srednjaskolabp@gmail.com","(018)855510","http://www.srednjaskolabp.wordpress.com","7106530","100402065","1941-07-23","Средње стручне школе","Државно","11","0","0","190","85","1","3","0","40","21.097300","49","31.097300"
"205.","1548","Ниш","Пиротски управни округ","Димитровград","Димитровград","Гимназија Свети Кирило и Методије","Кирила и Методије 12","18320","gimnazijadimgrad@mts.rs","(010)362163","http://www.cargim.edu.rs","7153139","101045601","1890-09-01","Средње стручне школе","Државно","15","0","0","229","141","0","1","0","39","29.170200","50","43.670200"
"206.","1549","Ниш","Пиротски управни округ","Пирот","Пирот","Гимназија Пирот","Српских владара 118","18300","gimpi@ptt.rs","(010)311437","http://www.gimnazija.edu.rs","7131577","100374159","1997-12-31","Гимназије","Државно","19","0","0","457","284","0","0","0","59","38.167800","72","52.167800"
